input,quantity,unit,item,comment
450 ml chicken stock,450,ml,chicken stock,
100 ml white wine,100,ml,white wine,
"2 cloves garlic, finely chopped",2,cloves,garlic,finely chopped
3 sprigs thyme,3,sprigs,thyme,
1 sprig tarragon + 1 tbsp chopped leaves,1,sprig,tarragon + 1 tbsp chopped leaves,
500 g boneless skinless chicken breasts,500,g,boneless skinless chicken breasts,
"225 g carrots, cut into batons",225,g,carrots,cut into batons
"225 g leeks, sliced",225,g,leeks,sliced
"2 tbsp cornflour, mixed with 2 tbsp water",2,tbsp,cornflour,mixed with 2 tbsp water
3 tbsp creme fraiche,3,tbsp,creme fraiche,
1 heaped tsp Dijon mustard,1,heaped tsp,Dijon mustard,
1 tbsp chopped parsley leaves,1,tbsp,chopped parsley leaves,
"70 g filo pastry, 3 sheets cut into 4 pieces",70,g,filo pastry,3 sheets cut into 4 pieces
1 tbsp rapeseed oil,1,tbsp,rapeseed oil,
2 tsp olive oil,2,tsp,olive oil,
"3 cloves garlic, crushed",3,cloves,garlic,crushed
1x 400 g tin cherry tomatoes,1x,400 g tin,cherry tomatoes,
100 ml robust red wine (such as Rioja or Merlot),100,ml,robust red wine (such as Rioja or Merlot),
1 tsp caster sugar,1,tsp,caster sugar,
"150 g pappardelle, or other pasta of your choice",150,g,pappardelle,or other pasta of your choice
100 g pitted Manzanilla olives with garlic and herbs,100,g,pitted Manzanilla olives with garlic and herbs,
"a large handful basil, roughly torn",,a large handful,basil,roughly torn
"40 g vegetarian feta, crumbled",40,g,vegetarian feta,crumbled
175 g basmati rice,175,g,basmati rice,
3 tbsp sunflower oil,3,tbsp,sunflower oil,
8 chicken pieces (a mixture of thighs and drumsticks,8,,chicken pieces (a mixture of thighs and drumsticks,
2 tbsp all-purpose seasoning,2,tbsp,all-purpose seasoning,
salt and pepper,,,salt and pepper,
"1 onion, roughly chopped",1,,onion,roughly chopped
"1 red pepper, deseeded and thinly sliced",1,,red pepper,deseeded and thinly sliced
"1 green pepper, deseeded and thinly sliced",1,,green pepper,deseeded and thinly sliced
"2 clove garlic, finely chopped",2,clove,garlic,finely chopped
"6 allspice berries, crushed",6,,allspice berries,crushed
1.5 tsp turmeric,1.5,tsp,turmeric,
"2 cm piece of root ginger, finely chopped",2,cm piece,of root ginger,finely chopped
"1 hot red chilli, sliced into thin rings (seeds left in)",1,,hot red chilli,sliced into thin rings (seeds left in)
600 ml chicken stock,600,ml,chicken stock,
3 sprig thyme,3,sprig,thyme,
2 bay leaves,2,,bay leaves,
"100 g pitted green olives, ideally stuffed with pimento",100,g,pitted green olives,ideally stuffed with pimento
"lime wedges, to serve",,,lime wedges,to serve
"2 tomatoes, halved seeds scooped out, then chopped",2,,tomatoes,"halved  seeds scooped out, then chopped"
"3 spring onions, chopped",3,,spring onions,chopped
"1 red chilli, sliced (deseeded if you like it milder)",1,,red chilli,sliced (deseeded if you like it milder)
4 eggs,4,,eggs,
100 ml milk,100,ml,milk,
1 tsp olive oil,1,tsp,olive oil,
"100 g cheddar, grated",100,g,cheddar,grated
2 large wraps,2,large,wraps,
"soured cream and guacamole, to serve (optional)",,,soured cream and guacamole,to serve (optional)
4-6 good quality sausages,4-6,,good quality sausages,
1 tbsp olive oil,1,tbsp,olive oil,
"0.5 onion, finely chopped",0.5,,onion,finely chopped
"2 cloves garlic, crushed",2,cloves,garlic,crushed
2 tsp ground coriander and cumin,2,tsp,ground coriander and cumin,
140 g long grain rice,140,g,long grain rice,
850 ml vegetable stock,850,ml,vegetable stock,
1 tin tomatoes,1,tin,tomatoes,
coriander leaves to garnish,,,coriander leaves to garnish,
1 tbsp coriander seeds,1,tbsp,coriander seeds,
Sea salt,,,Sea salt,
2 tbsp fresh or dried pomegranate seeds,2,tbsp,fresh or dried pomegranate seeds,
1 lb ground beef,1,lb,ground beef,
"0.5 small yellow onion, minced",0.5,small,yellow onion,minced
"0.5 medium tomato, finely chopped and drained of juice",0.5,medium,tomato,finely chopped and drained of juice
"1 clove garlic, finely grated or pounded",1,clove,garlic,finely grated or pounded
1 tbsp finely grated fresh ginger,1,tbsp,finely grated fresh ginger,
"0.5 jalapeno, seeded and minced",0.5,,jalapeno,seeded and minced
0.5 tsp red-pepper flakes,0.5,tsp,red-pepper flakes,
1 tsp garam masala,1,tsp,garam masala,
1 tsp cumin powder,1,tsp,cumin powder,
0.25 cup finely chopped cilantro leaves and tender stems,0.25,cup,finely chopped cilantro leaves and tender stems,
1 egg,1,,egg,
Neutral oil for cooking,,,Neutral oil for cooking,
Burger buns,,,Burger buns,
Iceberg lettuce,,,Iceberg lettuce,
Tamarind ketchup,,,Tamarind ketchup,
Herbed yogurt,,,Herbed yogurt,
"Sliced Persian cucumbers, red onions and tomatoes",,,"Sliced Persian cucumbers, red onions and tomatoes",
"16 oz swirly short cut pasta such as rotini, cooked to al dente",16,oz,swirly short cut pasta such as rotini,cooked to al dente
"1x 15 oz can whole corn kernels, drained",1x,15 oz can,whole corn kernels,drained
"1x 15 oz can black beans, drained and rinsed",1x,15 oz can,black beans,drained and rinsed
"1 pint cherry tomatoes, halved",1,pint,cherry tomatoes,halved
"4 green onions, sliced",4,,green onions,sliced
