Input,quantity,unit,item,comment
"100 g soft butter, at room temperature",100,g,soft butter,at room temperature
"2 onions, finely sliced",2,,onions,finely sliced
1 mug grated cheddar,1,mug,grated cheddar,
1 tbsp clear honey,1,tbsp,clear honey,
pinch of golden caster sugar,,pinch,of golden caster sugar,
"generous handful flat-leaf parsley leaves, finely chopped",,generous handful,flat-leaf parsley leaves,finely chopped
juice and zest of 0.5 lemon,,,juice and zest of 0.5 lemon,
"1 large onion, finely chopped",1,large,onion,finely chopped
1 tsp caraway seeds,1,tsp,caraway seeds,
1 tbsp lemon juice,1,tbsp,lemon juice,
"175 g green beans, halved",175,g,green beans,halved
2 spring onions,2,,spring onions,
0.75 cup medium-grain white rice,0.75,cup,medium-grain white rice,
1 tbsp pesto,1,tbsp,pesto,
"1 medium pre-roasted chicken (about 2 kg), meat finely shredded",1,medium,pre-roasted chicken (about 2 kg),meat finely shredded
0.5 cup buttermilk,0.5,cup,buttermilk,
"0.5 medium onion, cut in &frac12;-inch dice",0.5,medium,onion,cut in &frac12;-inch dice
2 tsp plain flour,2,tsp,plain flour,
400 g raw prawns,400,g,raw prawns,
2 cloves garlic,2,cloves,garlic,
"1 onion, chopped",1,,onion,chopped
"1 small aubergine, trimmed and diced",1,small,aubergine,trimmed and diced
2 mugs water,2,mugs,water,
1 litre hot vegetable stock,1,litre,hot vegetable stock,
kosher salt,,,kosher salt,
"2 cloves garlic, crushed",2,cloves,garlic,crushed
salt and black pepper,,,salt and black pepper,
"2 cloves garlic, minced or pureed",2,cloves,garlic,minced or pureed
2 tbsp groundnut or other flavourless oil,2,tbsp,groundnut or other flavourless oil,
freshly snipped chives,,,freshly snipped chives,
"2 onions, finely chopped",2,,onions,finely chopped
25 g pack basil,25,g pack,basil,
15 ml sunflower oil,15,ml,sunflower oil,
4 sprigs thyme,4,sprigs,thyme,
1 tsp sweetener,1,tsp,sweetener,
4 tbsp creme fraiche,4,tbsp,creme fraiche,
2 tbsp vegetable oil,2,tbsp,vegetable oil,
