input,name,quantity,unit,preparation,comment
"10g/½oz fresh tarragon, leaves only",fresh tarragon,10 0.5,g oz,,leaves only /
"150g/5¼oz canned chickpeas, drained and rinsed",canned chickpeas,150 5.25,g oz,drained and rinsed,/
500ml/18fl oz venison jus,venison jus,500 18,ml fl oz,,/
"700g/1lb 9oz mixed, boned, diced game meat, such as venison, rabbit, pheasant, pigeon and boar",mixed game meat,700 1 9,g lb oz,"boned, diced","/ such as venison, rabbit, pheasant, pigeon and boar"
1 tbsp spring onion oil (see Tips),spring onion oil,1,tbsp,,(see Tips)
300ml/10½fl oz pineapple juice,pineapple juice,300 10.5,ml fl oz,,/
"1 tbsp sesame seeds, to garnish",sesame seeds,1,tbsp,,to garnish
"1 floury potato, such as Maris Piper, peeled and diced",floury potato,1,,peeled and diced,such as Maris Piper
handful fresh breadcumbs,fresh breadcumbs,,handful,,
4 tsp finely sliced garlic,garlic,4,tsp,finely sliced,
1 tbsp rowan or redcurrant jelly,rowan or redcurrant jelly,1,tbsp,,
"100g/3½oz unsalted butter, cut into 1cm cubes",unsalted butter,100 3.5,g oz,cut into 1 cm cubes,/
steamed green vegetables,green vegetables,,,steamed,
¼ tsp freshly ground cardamom seeds,freshly ground cardamom seeds,0.25,tsp,,
8 x 450g/1lb live lobsters,live lobsters,8 x 450 1,g lb,,/
2 tsp coarse grain mustard,coarse grain mustard,2,tsp,,
450g/1lb unsalted butter,unsalted butter,450 1,g lb,,/
125g/4½oz dark brown soft sugar or muscovado sugar,dark brown soft sugar or muscovado sugar,125 4.5,g oz,,/
275g/10oz cooked long-grain rice (this must be cold),long-grain rice,275 10,g oz,cooked,(this must be cold) /
honey to taste,honey,,,,to taste
"10 hot chilies, sliced",hot chilies,10,,sliced,
"5 cloves garlic, crushed",garlic,5,clove,crushed,
"4 plum tomatoes, seeded and diced",plum tomatoes,4,,seeded and diced,
"400g/14oz Ratte potatoes (or other waxy potatoes), peeled",Ratte potatoes,400 14,g oz,peeled,(or other waxy potatoes) /
"olive oil, for shallow frying",olive oil,,,,for shallow frying
"250g/9oz carrots, grated",carrots,250 9,g oz,grated,/
a good pinch of dried oregano,dried oregano,,,,a good pinch of pinch
1 large bunch coriander leaves,coriander leaves,1,large bunch,,
"300g/11oz haricot beans, rinsed, drained, then left to soak in water overnight",haricot beans,300 11,g oz,"rinsed, drained, then left to soak in water overnight",/
250g/9oz medium egg noodles,egg noodles,250 9,g oz medium,,/
125m/4fl oz vegetable oil,vegetable oil,125 4,m fl oz,,/
300g/10½oz crunchy peanut butter,crunchy peanut butter,300 10.5,g oz,,/
"35g/1½oz smoked salmon, roughly chopped",smoked salmon,35 1.5,g oz,roughly chopped,/
"200g/7oz rice noodles, cooked",rice noodles,200 7,g oz,cooked,/
1 loin of venison,loin of venison,1,,,
1 tsp ground cumin (optional),ground cumin,1,tsp,,(optional)
clarified butter,clarified butter,,,,
"flaked almonds and glacé cherries, to decorate",almonds and glacé cherries,,,flaked,to decorate
"1 large potato, peeled, cut into thick chips",potato,1,large,"peeled, cut into thick chips",
5g/¼oz chopped fresh dill,fresh dill,5 0.25,g oz,chopped,/
48 sprigs watercress,watercress,48,sprigs,,
20g/ 3/4oz butter,butter,20 0.75,g oz,,/
110ml/4floz light olive oil,light olive oil,110 4,ml floz ,,/
250g/9oz mashed potatoes,mashed potatoes,250 9,g oz,,/
"2 lemons, Amalfi if possible",lemons,2,,,Amalfi if possible
"4 punnets cherry tomatoes, cut in half",punnets cherry tomatoes,4,,cut in half,
4 slices pineapple,pineapple,4,slice,,
"pasta or bread, to serve",pasta or bread,,,,to serve
½ pint whole milk,whole milk,0.5,pint,,
"175g/6oz tinned sweetcorn, drained",tinned sweetcorn,175 6,g oz,drained,/
