input,name,quantity,unit,size,preparation,comment,purpose
"10g/½oz fresh tarragon, leaves only",fresh tarragon,10 #1$2,g oz,,,leaf only,
"150g/5¼oz canned chickpeas, drained and rinsed",canned chickpeas,150 5#1$4,g oz,,drained and rinsed,,
500ml/18fl oz venison jus,venison jus,500 18,ml fl oz,,,,
"700g/1lb 9oz mixed, boned, diced game meat, such as venison, rabbit, pheasant, pigeon and boar",mixed game meat,700 1 9,g lb oz,,boned diced,such as venison rabbit pheasant pigeon and boar,
1 tbsp spring onion oil (see Tips),spring onion oil,1,tbsp,,,see Tips,
300ml/10½fl oz pineapple juice,pineapple juice,300 10#1$2,ml fl oz,,,,
"1 tbsp sesame seeds, to garnish",sesame seeds,1,tbsp,,,,to garnish
"1 floury potato, such as Maris Piper, peeled and diced",floury potato,1,,,peeled and diced,such as Maris Piper,
handful fresh breadcumbs,fresh breadcumbs,,handful,,,,
4 tsp finely sliced garlic,garlic,4,tsp,,finely sliced,,
1 tbsp rowan or redcurrant jelly,rowan or redcurrant jelly,1,tbsp,,,,
"100g/3½oz unsalted butter, cut into 1cm cubes",unsalted butter,100 3#1$2,g oz,,cut into 1 cm cube,,
steamed green vegetables,green vegetables,,,,steamed,,
¼ tsp freshly ground cardamom seeds,cardamom seeds,#1$4,tsp,,freshly ground,,
8 x 450g/1lb live lobsters,live lobsters,8x 450 1,g lb,,,,
2 tsp coarse grain mustard,coarse grain mustard,2,tsp,,,,
450g/1lb unsalted butter,unsalted butter,450 1,g lb,,,,
125g/4½oz dark brown soft sugar or muscovado sugar,dark brown soft sugar or muscovado sugar,125 4#1$2,g oz,,,,
275g/10oz cooked long-grain rice (this must be cold),long-grain rice,275 10,g oz,,cooked,this must be cold,
honey to taste,honey,,,,,to taste,
"10 hot chilies, sliced",hot chilies,10,,,sliced,,
"5 cloves garlic, crushed",garlic,5,clove,,crushed,,
"4 plum tomatoes, seeded and diced",plum tomatoes,4,,,seeded and diced,,
"400g/14oz Ratte potatoes (or other waxy potatoes), peeled",Ratte potatoes,400 14,g oz,,peeled,or other waxy potatoes,
"olive oil, for shallow frying",olive oil,,,,,,for shallow frying
"250g/9oz carrots, grated",carrots,250 9,g oz,,grated,,
a good pinch of dried oregano,dried oregano,,good pinch,,,a of,
1 large bunch coriander leaves,coriander leaf,1,large bunch,,,,
"300g/11oz haricot beans, rinsed, drained, then left to soak in water overnight",haricot beans,300 11,g oz,,rinsed drained then left to soak in water overnight,,
250g/9oz medium egg noodles,egg noodles,250 9,g oz,medium,,,
125ml/4fl oz vegetable oil,vegetable oil,125 4,ml fl oz,,,,
300g/10½oz crunchy peanut butter,crunchy peanut butter,300 10#1$2,g oz,,,,
"35g/1½oz smoked salmon, roughly chopped",smoked salmon,35 1#1$2,g oz,,roughly chopped,,
"200g/7oz rice noodles, cooked",rice noodles,200 7,g oz,,cooked,,
1 loin of venison,loin of venison,1,,,,,
1 tsp ground cumin (optional),ground cumin,1,tsp,,,optional,
clarified butter,clarified butter,,,,,,
"flaked almonds and glacé cherries, to decorate",flaked almonds and glacé cherries,,,,,,to decorate
"1 large potato, peeled, cut into thick chips",potato,1,,large,peeled cut into thick chips,,
5g/¼oz chopped fresh dill,fresh dill,5 #1$4,g oz,,chopped,,
48 sprigs watercress,watercress,48,sprig,,,,
20g/ 3/4oz butter,butter,20 #3$4,g oz,,,,
110ml/4floz light olive oil,light olive oil,110 4,ml floz,,,,
250g/9oz mashed potatoes,potatoes,250 9,g oz,,mashed,,
"2 lemons, Amalfi if possible",lemons,2,,,,Amalfi if possible,
"4 punnets cherry tomatoes, cut in half",cherry tomatoes,4,punnet,,cut in half,,
4 slices pineapple,pineapple,4,slice,,,,
"pasta or bread, to serve",pasta or bread,,,,,,to serve
½ pint whole milk,whole milk,#1$2,pint,,,,
"175g/6oz tinned sweetcorn, drained",tinned sweetcorn,175 6,g oz,,drained,,
0.5g mint essential oil,mint essential oil,0.5,g,,,,
100ml/3½oz walnut oil,walnut oil,100 3#1$2,ml oz,,,,
½ tsp Worcestershire sauce,Worcestershire sauce,#1$2,tsp,,,,
500g/1lb 2oz beef mince,beef mince,500 1 2,g lb oz,,,,
"500g/1lb 2oz baby carrots, leaf bases left on",baby carrots,500 1 2,g lb oz,,leaf bases left on,,
"1 tbsp coriander, chopped (save a few pretty bits for the finished dish)",coriander,1,tbsp,,chopped,save a few pretty bits for the finished dish,
½ tsp cream of tartar,cream of tartar,#1$2,tsp,,,,
"1 courgette, sliced into ribbons with a potato peeler",courgette,1,,,sliced into ribbons with a potato peeler,,
"100g/4oz cherries, quartered, washed, and dried",cherries,100 4,g oz,,quartered washed and dried,,
"2 very ripe Conference pears, peeled, cored and quartered",very ripe Conference pears,2,,,peeled cored and quartered,,
1 fish stock cube,fish stock cube,1,,,,,
500ml/18floz chicken stock,chicken stock,500 18,ml floz,,,,
1 tsp finely chopped fresh marjoram leaves,fresh marjoram leaf,1,tsp,,finely chopped,,
"small handful fresh basil, shredded",fresh basil,,small handful,,shredded,,
"1 tbsp dill, chopped",dill,1,tbsp,,chopped,,
"2 mackerel fillets, skin on, pin bones removed",mackerel fillets,2,,,skin on pin bones removed,,
"wild herbs, to garnish",wild herbs,,,,,,to garnish
"1 Granny Smith apple, cut into julienne",Granny Smith apple,1,,,cut into julienne,,
"110g/4oz broad beans, fresh or frozen",broad beans,110 4,g oz,,,fresh or frozen,
125g/4oz demerara sugar,demerara sugar,125 4,g oz,,,,
600ml/1 pint water,water,600 1,ml pint,,,,
¼ tsp dried ground ginger,dried ground ginger,#1$4,tsp,,,,
1kg/2lb 4oz chipping potatoes,chipping potatoes,1 2 4,kg lb oz,,,,
60g/2¼oz walnut halves,walnut halves,60 2#1$4,g oz,,,,
150g/5½oz fresh breadcrumbs,fresh breadcrumbs,150 5#1$2,g oz,,,,
"250g/9oz green beans, trimmed, cut into 1.5cm/⅝in pieces",green beans,250 9,g oz,,trimmed cut into 1.5 cm #5$8 in piece,,
475g/1lb 1oz currants,currants,475 1 1,g lb oz,,,,
4 medium sized onions,onions,4,,medium sized,,,
"150ml/6floz double cream, lightly whipped, to serve",double cream,150 6,ml floz,,lightly whipped,,to serve
75g/2¾oz pineapple into chunky pieces,pineapple,75 2#3$4,g oz,,into chunky piece,,
2 chunks Chinese rock sugar (available from specialist Asian grocers),Chinese rock sugar,2,chunk,,,available from specialist Asian grocers,
"2 red peppers, skinned, seeds removed",red peppers,2,,,skinned seeds removed,,
"20g/¾oz dill, fronds and stems roughly chopped",dill,20 #3$4,g oz,,fronds and stem roughly chopped,,
"100g/3½oz shelled peas, fresh or frozen",peas,100 3#1$2,g oz,,shelled,fresh or frozen,
"1 red pepper, finely chopped",red pepper,1,,,finely chopped,,
25g/1oz light brown sugar,light brown sugar,25 1,g oz,,,,
"100g/3½oz samphire, woody ends removed",samphire,100 3#1$2,g oz,,woody ends removed,,
"pinch of ground cinnamon, to garnish",ground cinnamon,,pinch,,,of,to garnish
"15 free-range eggs, lightly beaten",free-range eggs,15,,,lightly beaten,,
2 poached free-range eggs,free-range eggs,2,,,poached,,
½ tbsp butter,butter,#1$2,tbsp,,,,
2 tbsp chopped fresh holy basil leaves (available from some supermarkets and Asian grocers),fresh holy basil leaf,2,tbsp,,chopped,available from some supermarkets and Asian grocers,
2 tbsp capers,capers,2,tbsp,,,,
"½ apple, grated or finely chopped",apple,#1$2,,,grated or finely chopped,,
"250g/9oz spring greens, finely sliced",spring greens,250 9,g oz,,finely sliced,,
400g/14oz ground almonds,ground almonds,400 14,g oz,,,,
4 small chicken breasts skinned and sliced into long strips,chicken breasts,4,,small,skinned and sliced into long strip,,
500g/1lb 2oz muscavado sugar,muscavado sugar,500 1 2,g lb oz,,,,
70g/2½oz icing sugar,icing sugar,70 2#1$2,g oz,,,,
½ tsp chopped root ginger,root ginger,#1$2,tsp,,chopped,,
2 tbsp wholegrain mustard,wholegrain mustard,2,tbsp,,,,
orange food colouring,orange food colouring,,,,,,
"small bunch mint, (about 70g/2½oz on the stalk), leaves only, very finely chopped",mint,70 2#1$2,small bunch g oz,,very finely chopped,about on the stalk leaf only,
½ tbsp rice wine vinegar,rice wine vinegar,#1$2,tbsp,,,,
12g/⅓oz fast-action yeast,fast-action yeast,12 #1$3,g oz,,,,
10 garlic cloves,garlic,10,clove,,,,
3 free range eggs,free range eggs,3,,,,,
90ml/3½fl oz champagne,champagne,90 3#1$2,ml fl oz,,,,
"2 x 50g/1½oz pieces salmon fillet, skinned",salmon fillet,2x 50 1#1$2,g oz piece,,skinned,,
"4 chicken breasts, boneless and skinless, cut into chunks",chicken breasts boneless and skinless,4,,,cut into chunk,,
"½ red onion, peeled and roughly chopped",red onion,#1$2,,,peeled and roughly chopped,,
2 tbsp orange juice (fresh or from a carton),orange juice,2,tbsp,,,fresh or from a carton,
1 tsp thick tamarind paste or lemon juice,thick tamarind paste or lemon juice,1,tsp,,,,
"4 duck breasts, about 175g/6oz each, skin removed",duck breasts,4 175 6,g oz,,skin removed,about each,
1 tbsp grape seed oil,grape seed oil,1,tbsp,,,,
plain flour,plain flour,,,,,,
2 tbsp light soft brown sugar,light soft brown sugar,2,tbsp,,,,
"1 cucumber, peeled, seeded and sliced",cucumber,1,,,peeled seeded and sliced,,
150ml/6fl oz water,water,150 6,ml fl oz,,,,
"2 bunches watercress leaves, washed",watercress leaf,2,bunch,,washed,,
"125g/4½oz salmon fillet, skin removed, sliced in half",salmon fillet,125 4#1$2,g oz,,skin removed sliced in half,,
4oz (100g) light brown muscovado sugar,light brown muscovado sugar,4 100,oz g,,,,
100g/4oz shredded suet,suet,100 4,g oz,,shredded,,
"plain flour, for dredging",plain flour,,,,,,for dredging
"150g/5½oz plain chocolate, (around 35% cocoa solids), chopped",plain chocolate,150 5#1$2,g oz,,chopped,around 35% cocoa solids,
120g/4oz icing sugar,icing sugar,120 4,g oz,,,,
splash rice wine vinegar,rice wine vinegar,,splash,,,,
4 lemon wedges,lemon wedge,4,,,,,
"½ loaf brioche, cut into thick slices",brioche,#1$2,loaf,,cut into thick slice,,
"knob fresh ginger, peeled and sliced",fresh ginger,,knob,,peeled and sliced,,
1 tbsp chopped fresh coriander stems,fresh coriander stem,1,tbsp,,chopped,,
120ml/4fl oz fresh ready-made custard,fresh ready-made custard,120 4,ml fl oz,,,,
125g/4½ oz butter,butter,125 4#1$2,g oz,,,,
"2-4 green chillies, whole",green chillies,2-4,,,,whole,
1 tsp crushed ginger,ginger,1,tsp,,crushed,,
300ml/10fl oz apple juice,apple juice,300 10,ml fl oz,,,,
"1 bunch Swiss chard, stems removed and roughly chopped, leaves shredded",Swiss chard,1,bunch,,stem removed and roughly chopped leaf shredded,,
half bunch fresh mint,fresh mint,half,bunch,,,,
150ml/¼ pint dry white wine,dry white wine,150 #1$4,ml pint,,,,
"½ small red chilli, finely chopped",red chilli,#1$2,,small,finely chopped,,
4 tbsp marmalade,marmalade,4,tbsp,,,,
1 dessert spoon tomato purée,tomato purée,1,dessert spoon,,,,
1 x 1kg/2lb 3oz double lamb loin,double lamb loin,1x 1 2 3,kg lb oz,,,,
"5 Snickers bars, chopped into thin slices",Snickers bar,5,,,chopped into thin slice,,
pinch panch phoran (Indian spice blend),panch phoran,,pinch,,,Indian spice blend,
"½ ready-cooked chicken breast, chopped",ready-cooked chicken breast,#1$2,,,chopped,,
3 oranges,oranges,3,,,,,
1 tbsp freshly grated pecorino or parmesan cheese,pecorino or parmesan cheese,1,tbsp,,freshly grated,,
"1 garlic bulb, cloves peeled and finely chopped",garlic,1,bulb,,clove peeled and finely chopped,,
"3 x 1.2kg/2lb 12oz unsmoked ham hocks,on the bone",unsmoked ham hocks,3x 1.2 2 12,kg lb oz,,,on the bone,
"1 small head broccoli, cut into florets and blanched",broccoli,1,small head,,cut into florets and blanched,,
500g/1lb 2oz pecorino romano cheese (or a vegetarian alternative),pecorino romano cheese,500 1 2,g lb oz,,,or a vegetarian alternative,
20g/1¾oz chopped fresh rosemary,fresh rosemary,20 1#3$4,g oz,,chopped,,
100g/3½oz plain flour or strong white flour,plain flour or strong white flour,100 3#1$2,g oz,,,,
500g/1lb 2oz canned chopped tomatoes,canned chopped tomatoes,500 1 2,g lb oz,,,,
5-7 tbsp milk,milk,5-7,tbsp,,,,
"plain flour, seasoned with salt and freshly ground black pepper, for dusting",plain flour,,,,seasoned with salt and freshly ground black pepper,,for dusting
"2.5cm/1in piece fresh root ginger, peeled and cut into fine slices, then into fine strips",fresh root ginger,2.5 1,cm in piece,,peeled and cut into fine slice then into fine strip,,
25g/1oz duck fat,duck fat,25 1,g oz,,,,
500ml/18fl oz prawn or seafood stock,prawn or seafood stock,500 18,ml fl oz,,,,
"½ bunch chives, chopped (or one spring onion, finely chopped)",chives,#1$2,bunch,,chopped finely chopped,or one spring onion,
"1 nectarine cut in half, stone removed",nectarine,1,,,cut in half stone removed,,
pinch caster sugar (optional),caster sugar,,pinch,,,optional,
"1 pear peeled, cored and quartered",pear,1,,,peeled cored and quartered,,
"1 passion fruit, halved",passion fruit,1,,,halved,,
200g/7¼oz melted unsalted butter,unsalted butter,200 7#1$4,g oz,,melted,,
"1 whole wild sea bass (approximately 1kg/2lb 4oz), guts, gills and scales removed, fins trimmed",whole wild sea bass,1 1 2 4,kg lb oz,,guts gills and scales removed fins trimmed,approximately,
2 tbsp strong lamb or veal stock,strong lamb or veal stock,2,tbsp,,,,
3 tbsp cider vinegar,cider vinegar,3,tbsp,,,,
100g/3½oz dark chocolate buttons (minimum 70% cocoa solids),dark chocolate buttons,100 3#1$2,g oz,,,minimum 70% cocoa solids,
"½ carrot, peeled and grated",carrot,#1$2,,,peeled and grated,,
lemon curd or jam for the topping (optional),lemon curd or jam,,,,,optional,for the topping
"5-6 small dried red chillies, crumbled",dried red chillies,5-6,,small,crumbled,,
2 tbsp walnut pieces (optional),walnut piece,2,tbsp,,,optional,
75g/2½oz chorizo,chorizo,75 2#1$2,g oz,,,,
"handful mixed herbs (such as parsley, coriander, thyme), chopped",mixed herbs,,handful,,chopped,such as parsley coriander thyme,
