input,name,quantity,unit,size,preparation,comment,purpose
"1 1½"" piece ginger, peeled, cut into matchsticks",ginger,"1 1#1$2""",piece,,peeled cut into matchsticks,,
"2 1""–1½""-thick bone-in pork rib chops (about 1½ lb.)","1""-1#1$2""-thick bone-in pork rib chops",2 1#1$2,lb,,,about,
"1 1-inch piece peeled ginger, thinly sliced",ginger,1,piece,1 inch,peeled thinly sliced,,
"2 8""-long sprigs rosemary","8""-long rosemary",2,sprig,,,,
"1 8-oz. block pepper Jack cheese, divided",pepper Jack cheese,1 8,oz block,,divided,,
"2 1¼""-thick boneless New York strip steaks (about 14 oz. each), patted dry","1#1$4""-thick boneless New York strip steaks",2 14,oz,,patted dry,about each,
"3 lb. 2""–3"" sections mixed beef soup bones (such as neck, marrow, and/or oxtail)","2""-3"" section mixed beef soup bones",3,lb,,,such as neck marrow and/or oxtail,
"4 1½""-thick bone-in rib pork chops (about 2 lb. total)","1#1$2""-thick bone-in rib pork chops",4 2,lb,,,about total,
"1 3"" piece ginger, peeled, cut into thin matchsticks",ginger,"1 3""",piece,,peeled cut into thin matchsticks,,
"1 ½-inch piece ginger, peeled, finely grated",ginger,,piece,1#1$2 inch,peeled finely grated,,
"2 6” pieces lemongrass, tough outer layer removed, stalk lightly smashed",lemongrass,2 6”,piece,,tough outer layer removed stalk lightly smashed,,
"4 1""-thick slices country-style bread, toasted (for serving; optional)",country-style bread,4,"1""-thick slice",,toasted,optional,for serving
"1 2""-wide strip lemon zest",lemon zest,1,"2""-wide strip",,,,
"1 2½"" piece ginger, peeled, finely grated",ginger,"1 2#1$2""",piece,,peeled finely grated,,
"2 14-oz. blocks extra-firm tofu, drained, sliced lengthwise ¾” thick",extra-firm tofu,2 14,oz block,,drained sliced lengthwise #3$4” thick,,
2 pieces dried kombu,dried kombu,2,piece,,,,
"1 1½"" piece ginger, peeled, finely chopped",ginger,"1 1#1$2""",piece,,peeled finely chopped,,
"8 ½""-thick slices milk bread, crusts removed",milk bread,,"8#1$2""-thick slice",,crusts removed,,
"1 14-oz. block firm or extra-firm tofu, drained",firm or extra-firm tofu,1 14,oz block,,drained,,
"1 2-oz. piece butternut squash, peeled, halved, seeds removed, sliced ½"" thick",butternut squash,1 2,oz piece,,"peeled halved seeds removed sliced #1$2"" thick",,
"1 1"" piece ginger, peeled, coarsely chopped",ginger,"1 1""",piece,,peeled coarsely chopped,,
"1 5"" piece ginger, peeled, finely grated (about ¼ cup)",ginger,1 #1$4,"5"" piece cup",,peeled finely grated,about,
"1 3"" piece ginger, peeled, finely grated",ginger,"1 3""",piece,,peeled finely grated,,
"1 (2 lb.) porterhouse steak (about 2"" thick), preferably prime or as well-marbled as you can find",porterhouse steak,1 2,lb,,,"about 2"" thick preferably prime or as well-marbled as you can find",
"1 6"" piece ginger, peeled, coarsely chopped",ginger,"1 6""",piece,,peeled coarsely chopped,,
"4 3"" cinnamon sticks","3"" cinnamon stick",4,,,,,
"1 1"" piece ginger, peeled, finely grated",ginger,"1 1""",piece,,peeled finely grated,,
"1 6–8-oz. piece hot-smoked salmon, flaked",hot-smoked salmon,1 6-8,oz piece,,flaked,,
"1 6"" piece daikon, peeled, cut into matchsticks",daikon,"1 6""",piece,,peeled cut into matchsticks,,
"2 3x2"" strips lemon zest, thinly sliced",lemon zest,2 3x,"2"" strip",,thinly sliced,,
"5 10""–12""-diameter flour tortillas, divided","10""-12""-diameter flour tortillas",5,,,divided,,
"2 3"" cinnamon sticks","3"" cinnamon stick",2,,,,,
"5 oz. block feta, thinly sliced into planks, divided",feta,5,oz block,,thinly sliced into planks divided,,
"1 8-ounce piece Parmesan, with rind attached",Parmesan,1 8,ounce piece,,,with rind attached,
"2 3x2"" strips lemon zest, very thinly sliced",lemon zest,2 3x,"2"" strip",,very thinly sliced,,
"3 8½x7½"" toasted nori sheets, divided",nori sheet,3 8#1$2x,,,"7#1$2"" toasted divided",,
"4 ½""-thick bone-in pork rib chops (about 2 lb.)","4#1$2""-thick bone-in pork rib chops",2,lb,,,about,
"1 1"" piece ginger, scrubbed, finely chopped",ginger,"1 1""",piece,,scrubbed finely chopped,,
"1 3""-long cinnamon stick","3""-long cinnamon stick",1,,,,,
"4 (3""-long) strips lemon zest, plus 2 lemons, halved",lemon zest,4,strip,,halved,"3""-long plus 2 lemons",
"1 5-inch piece ginger, peeled, finely chopped (about ⅓ cup)",ginger,1 #1$3,piece cup,5 inch,peeled finely chopped,about,
"1 2-inch piece ginger, peeled, finely grated",ginger,1,piece,2 inch,peeled finely grated,,
"1 ½"" piece ginger, very thinly sliced",ginger,"1#1$2""",piece,,very thinly sliced,,
"2 slices ½""-thick Pullman or other white bread","#1$2""-thick Pullman or other white bread",2,slice,,,,
"1 2-inch piece ginger, peeled, sliced",ginger,1,piece,2 inch,peeled sliced,,
"1 4"" piece ginger, peeled, finely chopped",ginger,"1 4""",piece,,peeled finely chopped,,
"1 3"" cinnamon stick, broken into pieces","3"" cinnamon stick",1,,,broken into piece,,
"2 10""–12"" flour tortillas","10""-12"" flour tortillas",2,,,,,
"1 8-oz. block tempeh, crumbled into pieces no bigger than a chickpea",tempeh,1 8,oz block,,crumbled into piece no bigger than a chickpea,,
"1 3"" piece ginger, scrubbed, sliced ¼"" thick",ginger,"1 3""",piece,,"scrubbed sliced #1$4"" thick",,
"1 1-inch piece fresh ginger, peeled, coarsely chopped",fresh ginger,1,piece,1 inch,peeled coarsely chopped,,
"1 1½"" piece ginger, peeled, chopped",ginger,"1 1#1$2""",piece,,peeled chopped,,
"2 1""-thick swordfish steaks (about 12 oz. each)","1""-thick swordfish steaks",2 12,oz,,,about each,
"1 ½"" piece ginger, peeled, finely grated",ginger,"1#1$2""",piece,,peeled finely grated,,
"1 3"" piece ginger, peeled, cut into 1"" pieces",ginger,"1 3""",piece,,"peeled cut into 1"" piece",,
"3 cups 1"" pieces peeled butternut squash (about 10.5 oz./300 g)",butternut squash,3 10.5 300,cup oz g,,"1"" piece peeled",about,
"2 2x1"" strips lemon zest",lemon zest,2 2x,"1"" strip",,,,
"1 14-oz. block extra-firm tofu, drained",extra-firm tofu,1 14,oz block,,drained,,
"1 2” piece ginger, peeled, thinly sliced, then finely chopped",ginger,1,2” piece,,peeled thinly sliced then finely chopped,,
"2 1""-thick New York strip steaks (about 12 oz. each)","1""-thick New York strip steaks",2 12,oz,,,about each,
"4 ¾""-thick slices country-style bread, toasted",country-style bread,,"4#3$4""-thick slice",,toasted,,
"8 ½""-thick slices country-style or sourdough bread",country-style or sourdough bread,,"8#1$2""-thick slice",,,,
"1 baguette, sliced ½"" thick on a diagonal (about 12 slices)",baguette,1 12,slice,,"sliced #1$2"" thick on a diagonal",about,
"4 8""–10"" whole wheat tortillas","8""-10"" whole wheat tortillas",4,,,,,
"2 lb. 1""-thick boneless pork chops, cut into ¼""-thick strips","1""-thick boneless pork chops",2,lb,,"cut into #1$4""-thick strip",,
"8 6"" flour tortillas, warmed","6"" flour tortillas",8,,,warmed,,
"1 3"" piece ginger, 2"" peeled, thinly sliced, 1"" peeled, finely grated",ginger,"1 3""",piece,,"2"" peeled thinly sliced 1"" peeled finely grated",,
"1 3"" piece ginger, scrubbed, thinly sliced",ginger,"1 3""",piece,,scrubbed thinly sliced,,
"1 large white onion, cut into 1"" pieces, plus more finely chopped for serving",white onion,1,,large,"cut into 1"" piece",plus more finely chopped for serving,
"4 oz. Halloumi cheese, cut into ½""-thick planks (about the same size as rice cakes)",Halloumi cheese,4,oz,,"cut into #1$2""-thick planks",about the same size as rice cakes,
"1 1-inch piece ginger, peeled, coarsely chopped",ginger,1,piece,1 inch,peeled coarsely chopped,,
"4 1""-thick slices sourdough or country-style bread",sourdough or country-style bread,4,"1""-thick slice",,,,
"1 2""-piece ginger peeled, finely chopped","2""-piece ginger",1,,,peeled finely chopped,,
"1 2""-piece ginger, peeled, finely grated","2""-piece ginger",1,,,peeled finely grated,,
"2 cups bite-size pieces assorted vegetables (such as radishes, tomatoes, peas, summer squash) or carrot ribbons",assorted vegetables,2,cup,bite-size piece,,such as radishes tomatoes peas summer squash or carrot ribbons,
"1 2"" piece ginger, scrubbed, sliced lengthwise ¼"" thick",ginger,"1 2""",piece,,"scrubbed sliced lengthwise #1$4"" thick",,
"3 oz. Parmesan, cut into 1"" cubes; plus more finely grated for serving (optional)",Parmesan,3,oz,,"cut into 1"" cube",plus more finely grated for serving optional,
"4 1""-thick bone-in pork rib chops","1""-thick bone-in pork rib chops",4,,,,,
"2 6"" pieces baguette, halved lengthwise",baguette,"2 6""",piece,,halved lengthwise,,
"2 1""-thick boneless New York strip steaks (about 12 oz. each)","1""-thick boneless New York strip steaks",2 12,oz,,,about each,
"3 3""-long cinnamon sticks","3""-long cinnamon stick",3,,,,,
"1 1½"" piece ginger, peeled, coarsely chopped",ginger,"1 1#1$2""",piece,,peeled coarsely chopped,,
"1 4-lb. piece untrimmed flat-cut beef brisket, excess fat trimmed",flat-cut beef brisket,1 4,lb piece,,untrimmed excess fat trimmed,,
"1 2"" piece fresh ginger, peeled, finely chopped",fresh ginger,1,"2"" piece",,peeled finely chopped,,
"1 1""-piece ginger, peeled, thinly sliced","1""-piece ginger",1,,,peeled thinly sliced,,
"2 ¾""-thick boneless rib-eye or New York strip steaks (about 1½ lb. total)","2#3$4""-thick boneless rib-eye or New York strip steaks",1#1$2,lb,,,about total,
"1 2-inch piece ginger, peeled, thinly sliced crosswise",ginger,1,piece,2 inch,peeled thinly sliced crosswise,,
"12 1""-thick lamb rib chops","1""-thick lamb rib chops",12,,,,,
3 8–9-oz. blocks frozen Sanuki udon noodles,frozen Sanuki udon noodles,3 8-9,oz block,,,,
"1 (2"") piece ginger, peeled, finely grated",ginger,1,piece,,peeled finely grated,"2""",
"1 1½""-thick boneless New York strip steak (about 12 oz.)","1#1$2""-thick boneless New York strip steak",1 12,oz,,,about,
"1 5x2"" piece dried kombu",dried kombu,1 5x,"2"" piece",,,,
"12 5""–6"" corn tortillas","5""-6"" corn tortillas",12,,,,,
"4 ¾""-thick slices country-style bread, grilled or toasted",country-style bread,,"4#3$4""-thick slice",,grilled or toasted,,
"1 2"" piece galangal or ginger, peeled, thinly sliced, or 1 Tbsp. plus 1½ tsp. very finely chopped galangal paste",galangal or ginger,1,"2"" piece",,peeled thinly sliced,or 1 Tbsp plus 1#1$2 tsp very finely chopped galangal paste,
"1 1"" piece ginger, peeled",ginger,"1 1""",piece,,peeled,,
"1 2"" piece ginger, scrubbed, coarsely chopped",ginger,"1 2""",piece,,scrubbed coarsely chopped,,
"4 1""-thick slices whole grain sourdough bread, toasted",whole grain sourdough bread,4,"1""-thick slice",,toasted,,
"1 2-ounce piece Parmesan cheese, shaved into strips",Parmesan cheese,1 2,ounce piece,,shaved into strip,,
"2 slices ¼""-thick crusty bread, well-toasted, broken into pieces","#1$4""-thick crusty bread",2,slice,,well-toasted broken into piece,,
"4 cups torn 1½” pieces white country bread, with crusts (about ½ of a 1-lb. loaf)",white country bread,4,cup,,torn 1#1$2” piece,with crusts about #1$2 of a 1 lb loaf,
"1 16x4"" loaf sesame bread or other Italian hoagie bread",sesame bread or other Italian hoagie bread,1 16x,"4"" loaf",,,,
"1 2"" piece ginger",ginger,1,"2"" piece",,,,
"2 10""–12""-diameter flour tortillas","10""-12""-diameter flour tortillas",2,,,,,
"4 ½""-thick slices country-style bread (such as sourdough)",country-style bread,,"4#1$2""-thick slice",,,such as sourdough,
"1 4"" piece ginger, peeled, finely grated",ginger,"1 4""",piece,,peeled finely grated,,
"1 3' piece of ginger, peeled, cut into 1/4' slices",ginger,1,3' piece,,peeled cut into #1$4' slice,of,
"1 2"" piece ginger, peeled, halved",ginger,"1 2""",piece,,peeled halved,,
"2 large avocados, cut into 2"" pieces (about 6 pieces each)",avocados,2 6,piece,large,"cut into 2"" piece",about each,
"6 cups 1"" pieces mixed vegetables (such as zucchini, carrots, cauliflower, eggplant, okra, and/or mushrooms)","1"" piece mixed vegetables",6,cup,,,such as zucchini carrots cauliflower eggplant okra and/or mushrooms,
"1 2x2"" piece dried kombu",dried kombu,1 2x,"2"" piece",,,,
