input,name,quantity,unit,size,preparation,comment,purpose
"93% lean ground beef, raw",93% lean ground beef,,,,raw,,
"90% lean ground beef, raw",90% lean ground beef,,,,raw,,
"93%-lean ground beef, raw",93%-lean ground beef,,,,raw,,
"90%-lean ground beef, raw",90%-lean ground beef,,,,raw,,
"93% lean ground turkey, raw",93% lean ground turkey,,,,raw,,
"1 lb 85/15 ground beef, raw",85 15 ground beef,1,lb,,raw,,
"1 lb 80/20 ground beef, raw",80 20 ground beef,1,lb,,raw,,
"1 lb 90/10 ground beef, raw",90 10 ground beef,1,lb,,raw,,
"1 lb 73/27 ground beef, raw",73 27 ground beef,1,lb,,raw,,
"1 lb 93/7 ground turkey, raw",93 7 ground turkey,1,lb,,raw,,
"1 lb 80/20 ground pork, raw",80 20 ground pork,1,lb,,raw,,
"1 lb 75/25 ground pork, raw",75 25 ground pork,1,lb,,raw,,
"1 lb 80/20 ground lamb, raw",80 20 ground lamb,1,lb,,raw,,
"1 lb ground beef, raw",ground beef,1,lb,,raw,,
"1 lb ground turkey, raw",ground turkey,1,lb,,raw,,
"1 lb ground lamb, raw",ground lamb,1,lb,,raw,,
"8 oz salmon fillet, raw",salmon fillet,8,oz,,raw,,
"8 oz chicken breast, raw",chicken breast,8,oz,,raw,,
"1 lb shrimp, raw, peeled",shrimp,1,lb,,raw peeled,,
"1 cup raw shrimp, peeled",raw shrimp,1,cup,,peeled,,
93% lean ground beef raw,93% lean ground beef,,,,raw,,
93%-lean ground beef raw,93%-lean ground beef,,,,raw,,
1 lb 85/15 ground beef raw,85 15 ground beef,1,lb,,raw,,
1 lb 80/20 ground beef raw,80 20 ground beef,1,lb,,raw,,
4 oz lean ground beef raw,lean ground beef,4,oz,,raw,,
1 lb ground turkey raw,ground turkey,1,lb,,raw,,
1 lb ground lamb raw,ground lamb,1,lb,,raw,,
8 oz salmon raw,salmon,8,oz,,raw,,
3 tablespoons medium-roast coffee beans,medium-roast coffee beans,3,tablespoon,,,,
20 medium roast coffee beans,medium roast coffee beans,20,,,,,
15 medium-roast coffee beans,medium-roast coffee beans,15,,,,,
100 g medium roast coffee beans,medium roast coffee beans,100,g,,,,
250 ml medium dry sherry,medium dry sherry,250,ml,,,,
3 medium ripe pitted apricots,medium ripe pitted apricots,3,,,,,
"2 medium ripe deseeded tomatoes, chopped",medium ripe tomatoes,2,,,deseeded chopped,,
1-2 medium ripe tomatoes,medium ripe tomatoes,1-2,,,,,
2 yellow or black medium ripe plantains,yellow or black medium ripe plantains,2,,,,,
"3 medium spicy chilies, seeds removed",medium spicy chilies,3,,,seeds removed,,
1 glass medium dry white wine,medium dry white wine,1,glass,,,,
1 pint medium dry apple or pear cider,medium dry apple or pear cider,1,pint,,,,
1/2 pint medium dry cider,medium dry cider,#1$2,pint,,,,
2 tbsp medium dry sherry,medium dry sherry,2,tbsp,,,,
1 tsp medium strength curry powder,medium strength curry powder,1,tsp,,,,
1 tsp medium strength Thai curry paste,medium strength Thai curry paste,1,tsp,,,,
2 tbsp medium strength curry paste,medium strength curry paste,2,tbsp,,,,
2 medium spicy green chillis,medium spicy green chillis,2,,,,,
25 g medium spicy Indian chili powder,medium spicy Indian chili powder,25,g,,,,
2 medium firm Hass avocados,medium firm Hass avocados,2,,,,,
4 medium firm tomatoes,medium firm tomatoes,4,,,,,
3 tablespoons ground medium roast coffee beans,medium roast coffee beans,3,tablespoon,,ground,,
200 g medium roast coffee beans,medium roast coffee beans,200,g,,,,
1 cup medium roast coffee beans,medium roast coffee beans,1,cup,,,,
"500 g 85/15 minced beef, raw",85 15 minced beef,500,g,,raw,,
"1 kg 80/20 minced beef, raw",80 20 minced beef,1,kg,,raw,,
"250 g 90/10 minced beef, raw",90 10 minced beef,250,g,,raw,,
"1.5 kg 73/27 minced beef, raw",73 27 minced beef,1.5,kg,,raw,,
"400 g 93/7 minced turkey, raw",93 7 minced turkey,400,g,,raw,,
"100 g 80/20 minced pork, raw",80 20 minced pork,100,g,,raw,,
"500 g 75/25 minced pork, raw",75 25 minced pork,500,g,,raw,,
"250 g 80/20 minced lamb, raw",80 20 minced lamb,250,g,,raw,,
"1 kg minced beef, raw",minced beef,1,kg,,raw,,
"2 kg minced turkey, raw",minced turkey,2,kg,,raw,,
"750 g minced lamb, raw",minced lamb,750,g,,raw,,
"3 salmon fillet, raw",salmon fillet,3,,,raw,,
"250 g chicken breast, raw",chicken breast,250,g,,raw,,
"100 g shrimp, raw, peeled",shrimp,100,g,,raw peeled,,
93% lean minced beef raw,93% lean minced beef raw,,,,,,
93%-lean minced beef raw,93%-lean minced beef raw,,,,,,
125 g 85/15 minced beef raw,85 15 minced beef,125,g,,raw,,
0.5 kg 80/20 minced beef raw,80 20 minced beef,0.5,kg,,raw,,
625 g lean minced beef raw,lean minced beef raw,625,g,,,,
