input,name,quantity,unit,preparation,comment
"1 1/4 cups cooked and pureed fresh butternut squash, or 1 10-ounce package frozen squash, defrosted",fresh butternut squash,1.25,cup,cooked and pureed,"or 1 10-ounce package frozen squash, defrosted"
"1 cup peeled and cooked fresh chestnuts (about 20), or 1 cup canned, unsweetened chestnuts",fresh chestnuts,1 20,cup,peeled and cooked,"(about), or 1 cup canned, unsweetened chestnuts"
"1 medium-size onion, peeled and chopped",onion,1,medium-size,peeled and chopped,
"2 stalks celery, chopped coarse",celery,2,stalk,chopped coarse,
1 1/2 tablespoons vegetable oil,vegetable oil,1.5,tablespoon,,
1/2 cup water,water,0.5,cup,,
"2 tablespoons unflavored gelatin, dissolved in 1/2 cup water",unflavored gelatin,2,tablespoon,dissolved in 0.5 cup water,
Salt,Salt,,,,
1 cup canned plum tomatoes with juice,canned plum tomatoes,1,cup,,with juice
6 cups veal or beef stock,veal or beef stock,6,cup,,
1/3 cup Worcestershire sauce,Worcestershire sauce,0.333,cup,,
1 tablespoon Louisiana hot sauce,Louisiana hot sauce,1,tablespoon,,
1/2 teaspoon hot red pepper flakes,hot red pepper flakes,0.5,teaspoon,,
4 bay leaves,bay leaves,4,,,
"6 cloves garlic, crushed and chopped",garlic,6,clove,crushed and chopped,
"2 carrots, peeled and diced",carrots,2,,peeled and diced,
"2 medium onions, diced",onions,2,medium,diced,
6 tablespoons butter,butter,6,tablespoon,,
"1 tablespoon Creole seasoning, or other seasonings of your choice",Creole seasoning,1,tablespoon,,or other seasonings of your choice
3 pounds beef brisket,beef brisket,3,pound,,
1/2 cup fine dry bread crumbs,dry bread crumbs,0.5,cup,,fine
Freshly ground black pepper,black pepper,,,freshly ground ,
12 oysters and their liquor,oysters and their liquor,12,,,
3 tablespoons minced scallions,scallions,3,tablespoon,minced,
1 tablespoon flour,flour,1,tablespoon,,
"6 ounces button mushrooms, thinly sliced then coarsely chopped",button mushrooms,6,ounce,thinly sliced then coarsely chopped,
13 tablespoons butter,butter,13,tablespoon,,
"4 large artichokes, trimmed",artichokes,4,large,trimmed,
Juice of 1 lemon,lemon,1,,,Juice of
Salt,Salt,,,,
Confectioners' sugar,Confectioners' sugar,,,,
1/4 teaspoon vanilla extract,vanilla extract,0.25,teaspoon,,
2 large eggs,eggs,2,large,,
Pinch of freshly grated nutmeg,nutmeg,,pinch,freshly grated,of
2 teaspoons baking powder,baking powder,2,teaspoon,,
1/4 teaspoon salt,salt,0.25,teaspoon,,
1/4 cup sugar,sugar,0.25,cup,,
6 tablespoons flour,flour,6,tablespoon,,
2 cups cooked medium- or long-grain white rice,medium- or long-grain white rice,2,cup,cooked,
"Vegetable oil, for deep-frying",Vegetable oil,,,,for deep-frying
pound elbow macaroni,elbow macaroni,,pound,,
Freshly ground black pepper,black pepper,,,freshly ground ,
2 teaspoons Dijon mustard,Dijon mustard,2,teaspoon,,
cup heavy cream,heavy cream,,cup,,
2 cups whole milk,whole milk,2,cup,,
1/2 teaspoon hot red pepper flakes,hot red pepper flakes,0.5,teaspoon,,
3 tablespoons flour,flour,3,tablespoon,,
5 cups coarsely grated extra-sharp Cheddar,extra-sharp Cheddar,5,cup,coarsely grated,
2 cups panko or coarse dry bread crumbs,dry bread crumbs,2,cup,,panko or coarse
5 tablespoons unsalted butter,unsalted butter,5,tablespoon,,
Salt,Salt,,,,
Sprigs of watercress,watercress,,sprig,,of
"3/4 pound shiitake mushrooms, stemmed and quartered",shiitake mushrooms,0.75,pound,stemmed and quartered,
2 tablespoons extra-virgin olive oil,extra-virgin olive oil,2,tablespoon,,
Kosher salt and black pepper,kosher salt and black pepper,,,,
"1 2-pound beef tenderloin roast, cut from the large end, trimmed and tied at 1/2-inch intervals with kitchen twine",beef tenderloin roast,1 2,pound,"cut from the large end, trimmed and tied at 0.5-inch intervals with kitchen twine",
1/8 teaspoon ground cinnamon,ground cinnamon,0.125,teaspoon,,
1 tablespoon cocoa powder,cocoa powder,1,tablespoon,,
"3 tablespoons medium-roast coffee beans, finely ground",medium-roast coffee beans,3,tablespoon,finely ground,
1 teaspoon light-brown sugar,light-brown sugar,1,teaspoon,,
Kosher salt,kosher salt,,,,
1/4 cup heavy cream,heavy cream,0.25,cup,,
2 1/2 cups chicken stock,chicken stock,2.5,cup,,
4 large cloves garlic,garlic,4,large clove,,
1 1/2 cups chopped white onion,white onion,1.5,cup,chopped,
3 tablespoons unsalted butter,unsalted butter,3,tablespoon,,
1 6-inch white-corn tortilla,white-corn tortilla,1 6,inch,,
2 dried pasilla chilies,dried pasilla chilies,2,,,
1 teaspoon pomegranate molasses,pomegranate molasses,1,teaspoon,,
2 dashes of Angostura bitters,Angostura bitters,2,dash,,of
1/2 ounce apple schnapps,apple schnapps,0.5,ounce,,
1/2 ounce sweet vermouth,sweet vermouth,0.5,ounce,,
2 ounces applejack,applejack,2,ounce,,
"1 orange slice 1 1/4-inch thick, cut in half",orange,1,slice,cut in half,1.25-inch thick
1 cup sugar,sugar,1,cup,,
"12 ounces cranberries, washed and picked over",cranberries,12,ounce,washed and picked over,
"1 1/2 cups strawberries (about 1 pint), hulled and halved",strawberries,1.5 1,cup pint,hulled and halved,(about)
3 bananas,bananas,3,,,
3 tablespoons Triple Sec,Triple Sec,3,tablespoon,,
3 tablespoons fresh lemon juice,fresh lemon juice,3,tablespoon,,
3/4 cup fresh orange juice,fresh orange juice,0.75,cup,,
"3 papayas (1 pound each), peeled and cut into 1-inch chunks (about 4 cups)",papayas,3 1 4,pound cup,peeled and cut into 1-inch chunks ,"(each), (about)"
"6 kiwis (3 to 4 ounces each), peeled and cut into rounds about 1/4-inch thick",kiwis,6 3-4,ounce,peeled and cut into rounds about 0.25-inch thick,(each)
"3 McIntosh apples (8 ounces each), peeled, quartered, cored and cut into thin wedges (about 3 cups)",McIntosh apples,3 8 3,ounce cup,"peeled, quartered, cored and cut into thin wedges","(each), (about)"
