input,name,quantity,unit,size,preparation,comment,purpose
"1 1/4 cups cooked and pureed fresh butternut squash, or 1 10-ounce package frozen squash, defrosted",fresh butternut squash,1#1$4,cup,,cooked and pureed,or 1 10 ounce package frozen squash defrosted,
"1 cup peeled and cooked fresh chestnuts (about 20), or 1 cup canned, unsweetened chestnuts",fresh chestnuts,1 20,cup,,peeled and cooked,about or 1 cup canned unsweetened chestnuts,
"1 medium-size onion, peeled and chopped",onion,1,,medium-size,peeled and chopped,,
"2 stalks celery, chopped coarse",celery,2,stalk,,chopped coarse,,
1 1/2 tablespoons vegetable oil,vegetable oil,1#1$2,tablespoon,,,,
1/2 cup water,water,#1$2,cup,,,,
"2 tablespoons unflavored gelatin, dissolved in 1/2 cup water",unflavored gelatin,2,tablespoon,,dissolved in #1$2 cup water,,
Salt,Salt,,,,,,
1 cup canned plum tomatoes with juice,canned plum tomatoes with juice,1,cup,,,,
6 cups veal or beef stock,veal or beef stock,6,cup,,,,
1/3 cup Worcestershire sauce,Worcestershire sauce,#1$3,cup,,,,
1 tablespoon Louisiana hot sauce,Louisiana hot sauce,1,tablespoon,,,,
1/2 teaspoon hot red pepper flakes,hot red pepper flakes,#1$2,teaspoon,,,,
4 bay leaves,bay leaf,4,,,,,
"6 cloves garlic, crushed and chopped",garlic,6,clove,,crushed and chopped,,
"2 carrots, peeled and diced",carrots,2,,,peeled and diced,,
"2 medium onions, diced",onions,2,,medium,diced,,
6 tablespoons butter,butter,6,tablespoon,,,,
"1 tablespoon Creole seasoning, or other seasonings of your choice",Creole seasoning or other seasonings of your choice,1,tablespoon,,,,
3 pounds beef brisket,beef brisket,3,pound,,,,
1/2 cup fine dry bread crumbs,fine dry bread crumbs,#1$2,cup,,,,
Freshly ground black pepper,black pepper,,,,Freshly ground,,
12 oysters and their liquor,oysters and their liquor,12,,,,,
3 tablespoons minced scallions,scallions,3,tablespoon,,minced,,
1 tablespoon flour,flour,1,tablespoon,,,,
"6 ounces button mushrooms, thinly sliced then coarsely chopped",button mushrooms,6,ounce,,thinly sliced then coarsely chopped,,
13 tablespoons butter,butter,13,tablespoon,,,,
"4 large artichokes, trimmed",artichokes,4,,large,trimmed,,
Juice of 1 lemon,lemon,1,,,Juice of,,
Salt,Salt,,,,,,
Confectioners' sugar,Confectioners' sugar,,,,,,
1/4 teaspoon vanilla extract,vanilla extract,#1$4,teaspoon,,,,
2 large eggs,eggs,2,,large,,,
Pinch of freshly grated nutmeg,nutmeg,,Pinch,,freshly grated,of,
2 teaspoons baking powder,baking powder,2,teaspoon,,,,
1/4 teaspoon salt,salt,#1$4,teaspoon,,,,
1/4 cup sugar,sugar,#1$4,cup,,,,
6 tablespoons flour,flour,6,tablespoon,,,,
2 cups cooked medium- or long-grain white rice,medium-grain or long-grain white rice,2,cup,,cooked,,
