input,name,quantity,unit,comment
1 tbsp vegetable oil,vegetable oil,1,tbsp,
"500 g butternut squash (about 1 small squash), peeled and chopped into bite-sized chunks",butternut squash (about 1 small squash),500,g,peeled and chopped into bite-sized chunks
100 g frozen chopped onions,frozen chopped onions,100,g,
4 heaped tbsp mild curry paste,mild curry paste,4,heaped tbsp,
1x 400 g can chopped tomatoes,chopped tomatoes,1x,400 g can,
1x 400 g can light coconut milk,light coconut milk,1x,400 g can,
"mini naan bread, to serve",mini naan bread,,,to serve
"1x 400 g can lentils, drained",lentils,1x,400 g can,drained
200 g bag baby spinach,bag baby spinach,200,g,
150 ml coconut yogurt,coconut yogurt,150,ml,
"3 skin-on (or skinless) salmon fillets, roughly 6 oz each",skin-on (or skinless) salmon fillets,3,,roughly 6 oz each
"2 tbsp olive oil, plus more for drizzling",olive oil,2,tbsp,plus more for drizzling
Kosher salt and black pepper,Kosher salt and black pepper,,,
1 tsp ground cumin,ground cumin,1,tsp,
0.5 tsp ground turmeric,ground turmeric,0.5,tsp,
"2 limes, 1 halved and 1 zested and juiced",limes,2,,1 halved and 1 zested and juiced
1.5 cups pearl couscous,pearl couscous,1.5,cups,
1.5 cups baby arugula,baby arugula,1.5,cups,
"1 cup thick full-fat yogurt, such as Greek, Skyr or labneh",thick full-fat yogurt,1,cup,"such as Greek, Skyr or labneh"
0.5 cup crumbled feta,crumbled feta,0.5,cup,
"0.25 packed cup fresh flat-leaf parsley, cilantro or dill leaves and tender stems, roughly chopped",fresh flat-leaf parsley,0.25,packed cup,"cilantro or dill leaves and tender stems, roughly chopped"
"0.25 packed cup fresh mint leaves and tender stems, roughly chopped",fresh mint leaves and tender stems,0.25,packed cup,roughly chopped
"1 Persian cucumber, diced into &frac12;-inch pieces (about &frac34; cup)",Persian cucumber,1,,diced into &frac12;-inch pieces (about &frac34; cup)
"2 scallions, light green and white parts sliced",scallions,2,,light green and white parts sliced
250 g shelled fresh peas,shelled fresh peas,250,g,
"2 fat cloves garlic, finely chopped",garlic,2,fat cloves,finely chopped
"50 g pine nuts, toasted",pine nuts,50,g,toasted
"50 g Parmesan cheese, chopped into small chunks",Parmesan cheese,50,g,chopped into small chunks
good handful fresh mint leaves,fresh mint leaves,,good handful,
6 tbsp extra virgin olive oil,extra virgin olive oil,6,tbsp,
350 g spaghetti,spaghetti,350,g,
freshly grated Parmesan cheese,freshly grated Parmesan cheese,,,
extra virgin olive oil,extra virgin olive oil,,,
1 tbsp olive oil,olive oil,1,tbsp,
"2 onions, sliced",onions,2,,sliced
"1 small aubergine, trimmed and diced",aubergine,1,small,trimmed and diced
"500 g lean pork fillet, trimmed of any fat and sliced",lean pork fillet,500,g,trimmed of any fat and sliced
