Release,Sentence,Word
0.1.0-alpha2,84.94,95.25
0.1.0-alpha3,86.42,96.04
0.1.0-alpha4,86.42,96.04
0.1.0-beta1,86.67,95.73
0.1.0-beta2,86.67,95.73
0.1.0-beta3,86.67,95.73
0.1.0-beta4,89.58,96.25
0.1.0-beta5,89.95,96.24
0.1.0-beta6,92.11,97.02
0.1.0-beta7,92.11,97.02
0.1.0-beta8,93.59,97.51
0.1.0-beta9,94.24,97.73
0.1.0-beta10,94.24,97.73
0.1.0-beta11,94.75,97.83
1.0.0,95.1,97.97
1.0.1,95.1,97.97
1.1.0,95.86,98.41
1.2.0,95.86,98.41
1.3.0,95.87,98.29
2.0.0,94.72,97.82
2.1.0,94.66,97.82
2.2.0,94.94,97.9
